#Accelarometer|Gyrometer
#Ax	Ay	Az|Gx	Gy	Gz
-6616	13880	-1380|915	-68	-49
-6624	13924	-1496|909	-41	-136
-6680	13896	-1408|917	-46	-148
-6636	13996	-1508|913	-35	-111
-6668	13896	-1616|902	-47	-47
-6716	13944	-1496|916	-43	-40
-6616	13972	-1412|879	-57	-5
-6584	13884	-1536|918	-47	-25
-6920	14192	-1584|892	-10	-164
-7792	15016	-1524|1022	-80	-68
-6928	14244	-1484|773	-112	261
-6396	13764	-1416|939	-72	112
-6636	14020	-1596|892	-43	-154
-6520	13836	-1524|946	4	-242
-6776	13916	-1552|926	8	-333
-6916	14008	-1568|891	-64	-54
-6592	13936	-1460|866	-113	216
